time,runtime,ping,adc_vb_f,adc_va_f,adc_vl_f,adc_ic_f,adc_il_f,t_hs,t_batt,t_amb,t_rts,charge_state,array_fault,vb_f,vb_ref,ahc_r,ahc_t,kwhc,load_state,load_fault,v_lvd,ahl_r,ahl_t,hourmeter,alarm,dip_switch,led_state,power_out,power_load,sweep_vmp,sweep_pmax,sweep_voc,vb_min_daily,vb_max_daily,ahc_daily,ahl_daily,array_fault_daily,load_fault_daily,alarm_daily,vb_min,vb_max,sensor_uptime,sequence_count,timestamp,crc_errors,crc_errors_delta,crc_errors_hourly,crc_errors_daily,valid_packets,trigger_delta,trigger_rate_1min,trigger_rate_5min,trigger_rate_1hr,bytes_read,bytes_written,bytes_remaining,triggers_remaining,packets_sent,packets_dropped
2020-01-18 00:00:45.558865,77.08,0,11.603,0.714,11.581,0.0,1.232,15.0,15.0,15.0,25.0,3.0,0.0,11.6,0.0,714.3,714.3,9.8,1.0,0.0,11.484,605.9,605.9,8978.0,1.0,1101.0,10.0,0.0,14.268,7.941,3.699,10.59,11.462,11.902,0.0,0.5,0.0,0.0,1.0,9.439,19.47,0.58,2089.0,2020-01-18 14:38:16.317000,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0
2020-01-18 00:01:45.558851,77.1,0,11.346,0.687,11.316,0.0,1.237,15.0,15.0,15.0,25.0,3.0,0.0,11.481,0.0,714.3,714.3,9.8,2.0,0.0,11.484,605.9,605.9,8978.0,1.0,1101.0,10.0,0.0,13.998,7.941,3.699,10.59,11.346,11.902,0.0,0.5,0.0,0.0,1.0,9.439,19.47,0.597,2149.0,2020-01-18 14:39:16.327000,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0
2020-01-18 00:02:45.558946,77.12,0,11.362,0.684,11.331,0.0,1.234,15.0,15.0,15.0,25.0,3.0,0.0,11.371,0.0,714.3,714.3,9.8,2.0,0.0,11.484,605.9,605.9,8978.0,1.0,1101.0,10.0,0.0,13.982,7.941,3.699,10.59,11.337,11.902,0.0,0.5,0.0,0.0,1.0,9.439,19.47,0.614,2209.0,2020-01-18 14:40:16.338000,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0
2020-01-18 00:03:45.558858,77.13,0,11.362,0.681,11.316,0.0,1.234,15.0,15.0,15.0,25.0,3.0,0.0,11.362,0.0,714.3,714.3,9.8,2.0,0.0,11.484,605.9,605.9,8978.0,1.0,1101.0,10.0,0.0,13.964,7.941,3.699,10.59,11.337,11.902,0.0,0.5,0.0,0.0,1.0,9.439,19.47,0.63,2269.0,2020-01-18 14:41:16.348000,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
2020-01-18 00:04:45.558852,77.15,0,11.356,0.674,11.319,0.0,1.234,15.0,15.0,15.0,25.0,3.0,0.0,11.365,0.0,714.3,714.3,9.8,2.0,0.0,11.481,605.9,605.9,8978.0,1.0,1101.0,10.0,0.0,13.968,7.941,3.699,10.59,11.337,11.902,0.0,0.5,0.0,0.0,1.0,9.439,19.47,0.647,2329.0,2020-01-18 14:42:16.358000,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0
2020-01-18 00:05:45.558863,77.17,1,12.488,0.668,0.613,0.0,0.0,15.0,15.0,15.0,25.0,3.0,0.0,11.414,0.0,714.3,714.3,9.8,3.0,0.0,11.484,606.0,606.0,8978.0,1.0,1101.0,11.0,0.0,0.0,7.941,3.699,10.59,11.337,12.491,0.0,0.6,0.0,0.0,1e+19,9.439,19.47,,,,,,0.0,28.0,,,,0.0,0.0,,,,,,
2020-01-18 00:06:45.558864,77.18,1,12.549,0.668,0.0,0.0,0.0,15.0,15.0,15.0,25.0,3.0,0.0,12.424,0.0,714.3,714.3,9.8,3.0,0.0,11.499,606.0,606.0,8978.0,1.0,1101.0,11.0,0.0,0.0,7.941,3.699,10.59,11.337,12.552,0.0,0.6,0.0,0.0,1e+19,9.439,19.47,,,,,,0.0,28.0,,,,0.0,0.0,,,,,,
2020-01-18 00:07:45.558837,77.2,1,12.567,0.671,0.0,0.0,0.0,15.0,15.0,15.0,25.0,3.0,0.0,12.552,0.0,714.3,714.3,9.8,3.0,0.0,11.499,606.0,606.0,8978.0,1.0,1101.0,11.0,0.0,0.0,7.941,3.699,10.59,11.337,12.567,0.0,0.6,0.0,0.0,1e+19,9.439,19.47,,,,,,0.0,28.0,,,,0.0,0.0,,,,,,
2020-01-18 00:08:45.558843,77.22,1,12.573,0.668,0.0,0.0,0.0,15.0,15.0,15.0,25.0,3.0,0.0,12.573,0.0,714.3,714.3,9.8,3.0,0.0,11.499,606.0,606.0,8978.0,1.0,1101.0,11.0,0.0,0.0,7.941,3.699,10.59,11.337,12.576,0.0,0.6,0.0,0.0,1e+19,9.439,19.47,,,,,,0.0,28.0,,,,,0.0,,,,,,
2020-01-18 00:09:45.558846,77.23,1,12.589,0.665,0.0,0.002,0.0,15.0,15.0,15.0,25.0,3.0,0.0,12.585,0.0,714.3,714.3,9.8,3.0,0.0,11.499,606.0,606.0,8978.0,1.0,1101.0,11.0,0.0,0.0,7.941,3.699,10.59,11.337,12.592,0.0,0.6,0.0,0.0,1e+19,9.439,19.47,,,,,,0.0,28.0,,,,,0.0,,,,,,
2020-01-18 00:10:45.558841,77.25,1,12.595,0.668,0.0,0.0,0.0,15.0,15.0,15.0,25.0,3.0,0.0,12.595,0.0,714.3,714.3,9.8,3.0,0.0,11.499,606.0,606.0,8978.0,1.0,1101.0,11.0,0.0,0.0,7.941,3.699,10.59,11.337,12.598,0.0,0.6,0.0,0.0,1e+19,9.439,19.47,,,,,,0.0,28.0,,,,,0.0,,,,,,
2020-01-18 00:11:45.558876,77.27,1,11.914,0.671,11.887,0.0,1.599,15.0,15.0,15.0,25.0,3.0,0.0,12.369,0.0,714.3,714.3,9.8,1.0,0.0,11.493,606.0,606.0,8978.0,1.0,1101.0,8.0,0.0,19.007,7.941,3.699,10.59,11.151,12.604,0.0,0.6,0.0,0.0,1e+19,9.439,19.47,,,,,,0.0,28.0,,,,,0.0,,,,,,
2020-01-18 00:12:45.558851,77.28,0,11.801,0.677,11.771,0.0,1.234,15.0,15.0,15.0,25.0,3.0,0.0,11.948,0.0,714.3,714.3,9.8,1.0,0.0,11.484,606.0,606.0,8978.0,1.0,1101.0,8.0,0.0,14.525,7.941,3.699,10.59,11.151,12.604,0.0,0.6,0.0,0.0,1e+19,9.439,19.47,0.011,39.0,2020-01-18 14:50:16.829000,0.0,,0.0,28.0,0.0,,,,0.0,0.01,0.0,0.0,0.0,0.0,0.0
2020-01-18 00:13:45.558849,77.3,0,11.798,0.677,11.765,0.0,1.164,15.0,15.0,15.0,25.0,3.0,0.0,11.832,0.0,714.3,714.3,9.8,1.0,0.0,11.484,606.0,606.0,8978.0,1.0,1101.0,8.0,0.0,13.694,7.941,3.699,10.59,11.151,12.604,0.0,0.6,0.0,0.0,1e+19,9.439,19.47,0.028,99.0,2020-01-18 14:51:16.840000,0.0,0.0,0.0,28.0,0.0,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0
2020-01-18 00:14:45.558867,77.32,0,11.838,0.684,11.81,0.0,1.164,15.0,15.0,15.0,25.0,3.0,0.0,11.798,0.0,714.3,714.3,9.8,1.0,0.0,11.484,606.0,606.0,8978.0,1.0,1101.0,8.0,0.0,13.747,7.941,3.699,10.59,11.151,12.604,0.0,0.6,0.0,0.0,1e+19,9.439,19.47,0.044,159.0,2020-01-18 14:52:16.857000,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
2020-01-18 00:15:45.558858,77.33,0,11.765,0.696,11.746,0.0,1.162,15.0,15.0,15.0,25.0,3.0,0.0,11.774,0.0,714.3,714.3,9.8,1.0,0.0,11.484,606.1,606.1,8978.0,1.0,1101.0,8.0,0.0,13.649,7.941,3.699,10.59,11.151,12.604,0.0,0.7,0.0,0.0,1e+19,9.439,19.47,0.061,219.0,2020-01-18 14:53:16.867000,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0
2020-01-18 00:16:45.558863,77.35,0,11.765,0.687,11.746,0.0,1.164,14.0,15.0,15.0,25.0,3.0,0.0,11.786,0.0,714.3,714.3,9.8,1.0,0.0,11.484,606.1,606.1,8978.0,1.0,1101.0,8.0,0.0,13.672,7.941,3.699,10.59,11.151,12.604,0.0,0.7,0.0,0.0,1e+19,9.439,19.47,0.078,279.0,2020-01-18 14:54:16.879000,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
2020-01-18 00:17:45.558852,77.37,0,11.719,0.684,11.685,0.0,1.174,14.0,15.0,15.0,25.0,3.0,0.0,11.746,0.0,714.3,714.3,9.8,1.0,0.0,11.484,606.1,606.1,8978.0,1.0,1101.0,8.0,0.0,13.718,7.941,3.699,10.59,11.151,12.604,0.0,0.7,0.0,0.0,1e+19,9.439,19.47,0.094,339.0,2020-01-18 14:55:16.889000,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
2020-01-18 00:18:45.558866,77.38,0,11.749,0.69,11.719,0.0,1.167,14.0,15.0,15.0,25.0,3.0,0.0,11.771,0.0,714.3,714.3,9.8,1.0,0.0,11.484,606.1,606.1,8978.0,1.0,1101.0,8.0,0.0,13.676,7.941,3.699,10.59,11.151,12.604,0.0,0.7,0.0,0.0,1e+19,9.439,19.47,0.111,399.0,2020-01-18 14:56:16.899000,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
