time,runtime,adc_vb_f,adc_va_f,adc_vl_f,adc_ic_f,adc_il_f,t_hs,t_batt,t_amb,t_rts,charge_state,array_fault,vb_f,vb_ref,ahc_r,ahc_t,kwhc,load_state,load_fault,v_lvd,ahl_r,ahl_t,hourmeter,alarm,dip_switch,led_state,power_out,power_load,power_net,sweep_vmp,sweep_pmax,sweep_voc,vb_min_daily,vb_max_daily,ahc_daily,ahl_daily,ahnet_daily,array_fault_daily,load_fault_daily,alarm_daily,vb_min,vb_max,sensor_uptime,ping,sequence_count,timestamp,crc_errors,crc_errors_delta,crc_errors_hourly,crc_errors_daily,valid_packets,trigger_delta,trigger_rate_1min,trigger_rate_5min,trigger_rate_1hr,bytes_read,bytes_written,bytes_remaining,triggers_remaining,packets_sent,packets_dropped
2020-07-27 00:00:05.178943,433.6,12.292,14.505,12.241,0.333,1.954,45.0,45.0,45.0,25.0,5.0,0.0,12.292,13.234,1115.3,1115.3,14.5,1.0,0.0,11.478,965.7,965.7,5042.0,1.0,13.0,6.0,4.092,23.919,-22.627,14.536,4.545,17.798,11.911,13.324,53.8,38.4,15.4,0.0,0.0,1.0,10.779,20.898,6.686,0.0,24069.0,2018-03-15 13:19:40.945000+00:00,0.0,0.0,0.0,0.0,27.0,-0.0,-0.0,0.0,0.233,3.8,0.59,41.36,1880.0,0.0,0.0
2020-07-27 00:01:05.179022,433.62,12.292,14.453,12.244,0.292,1.988,45.0,45.0,45.0,25.0,5.0,0.0,12.292,13.234,1115.3,1115.3,14.5,1.0,0.0,11.475,965.8,965.8,5042.0,1.0,13.0,6.0,3.578,24.341,-23.563,14.478,3.941,17.59,11.911,13.324,53.8,38.5,15.3,0.0,0.0,1.0,10.779,20.898,6.702,0.0,24129.0,2018-03-15 13:20:40.955000+00:00,0.0,0.0,0.0,0.0,27.0,-0.0,-0.0,0.0,0.233,3.81,0.59,41.36,1880.0,0.0,0.0
2020-07-27 00:02:05.179029,433.63,12.292,14.453,12.241,0.28,2.029,45.0,45.0,45.0,25.0,5.0,0.0,12.292,13.234,1115.3,1115.3,14.5,1.0,0.0,11.475,965.8,965.8,5042.0,1.0,13.0,6.0,3.412,24.837,-24.225,14.478,3.941,17.59,11.911,13.324,53.8,38.5,15.3,0.0,0.0,1.0,10.779,20.898,6.719,0.0,24189.0,2018-03-15 13:21:40.965000+00:00,0.0,0.0,0.0,0.0,27.0,-0.0,-0.0,0.0,0.233,3.82,0.59,41.36,1880.0,0.0,0.0
2020-07-27 00:03:05.179009,433.65,12.292,14.45,12.241,0.271,2.024,45.0,45.0,45.0,25.0,5.0,0.0,12.292,13.234,1115.3,1115.3,14.5,1.0,0.0,11.475,965.8,965.8,5042.0,1.0,13.0,6.0,3.291,24.776,-24.285,14.478,3.941,17.59,11.911,13.324,53.8,38.5,15.3,0.0,0.0,1.0,10.779,20.898,6.736,0.0,24249.0,2018-03-15 13:22:40.975000+00:00,0.0,0.0,0.0,0.0,27.0,-0.0,-0.0,0.0,0.233,3.82,0.59,41.36,1880.0,0.0,0.0
2020-07-27 00:04:05.179031,433.67,12.289,14.505,12.241,0.256,2.034,45.0,45.0,45.0,25.0,5.0,0.0,12.289,13.234,1115.3,1115.3,14.5,1.0,0.0,11.475,965.9,965.9,5042.0,1.0,13.0,6.0,3.141,24.898,-24.557,14.511,3.276,17.48,11.911,13.324,53.8,38.6,15.2,0.0,0.0,1.0,10.779,20.898,6.752,0.0,24309.0,2018-03-15 13:23:40.985000+00:00,0.0,0.0,0.0,0.0,27.0,-0.0,-0.0,0.0,0.233,3.83,0.59,41.36,1880.0,0.0,0.0
2020-07-27 00:05:05.179025,433.68,12.292,14.499,12.241,0.232,1.971,45.0,45.0,45.0,25.0,5.0,0.0,12.292,13.234,1115.3,1115.3,14.5,1.0,0.0,11.475,965.9,965.9,5042.0,1.0,13.0,6.0,2.808,24.127,-24.119,14.511,3.276,17.48,11.911,13.324,53.8,38.6,15.2,0.0,0.0,1.0,10.779,20.898,6.769,0.0,24369.0,2018-03-15 13:24:40.995000+00:00,0.0,0.0,0.0,0.0,27.0,-0.0,-0.0,0.0,0.217,3.84,0.59,41.36,1880.0,0.0,0.0
2020-07-27 00:06:05.179011,433.7,12.292,14.502,12.241,0.215,1.947,44.0,45.0,45.0,25.0,5.0,0.0,12.289,13.234,1115.3,1115.3,14.5,1.0,0.0,11.475,965.9,965.9,5042.0,1.0,13.0,6.0,2.642,23.833,-23.991,14.511,3.276,17.48,11.911,13.324,53.8,38.6,15.2,0.0,0.0,1.0,10.779,20.898,6.786,0.0,24429.0,2018-03-15 13:25:41.006000+00:00,0.0,0.0,0.0,0.0,27.0,-0.0,-0.0,0.0,0.217,3.85,0.59,41.36,1880.0,0.0,0.0
2020-07-27 00:07:05.179016,433.72,12.262,13.321,12.241,0.203,2.015,44.0,44.0,44.0,25.0,5.0,0.0,12.28,13.263,1115.3,1115.3,14.5,1.0,0.0,11.475,966.0,966.0,5042.0,1.0,13.0,6.0,2.506,24.666,-24.96,12.949,3.276,17.261,11.911,13.324,53.8,38.7,15.1,0.0,0.0,1.0,10.779,20.898,6.802,0.0,24489.0,2018-03-15 13:26:41.016000+00:00,0.0,0.0,0.0,0.0,27.0,-0.0,-0.0,0.0,0.217,3.86,0.59,41.36,1880.0,0.0,0.0
2020-07-27 00:08:05.178889,433.73,12.262,13.321,12.241,0.196,1.981,44.0,44.0,44.0,25.0,5.0,0.0,12.265,13.263,1115.3,1115.3,14.5,1.0,0.0,11.475,966.0,966.0,5042.0,1.0,13.0,6.0,2.355,24.249,-24.694,12.878,3.276,17.169,11.911,13.324,53.8,38.7,15.1,0.0,0.0,1.0,10.779,20.898,6.819,0.0,24549.0,2018-03-15 13:27:41.026000+00:00,0.0,0.0,0.0,0.0,27.0,-0.0,-0.0,0.0,0.217,3.86,0.59,41.36,1880.0,0.0,0.0
2020-07-27 00:09:05.178864,433.75,12.262,13.318,12.241,0.186,1.959,44.0,44.0,44.0,25.0,5.0,0.0,12.268,13.263,1115.3,1115.3,14.5,1.0,0.0,11.475,966.0,966.0,5042.0,1.0,13.0,6.0,2.25,23.98,-24.53,12.866,3.276,17.151,11.911,13.324,53.8,38.7,15.1,0.0,0.0,1.0,10.779,20.898,6.836,0.0,24609.0,2018-03-15 13:28:41.036000+00:00,0.0,0.0,0.0,0.0,27.0,-0.0,-0.0,0.0,0.217,3.87,0.59,41.36,1880.0,0.0,0.0
